EudraCT Number:,Sponsor Protocol Number:,Sponsor Name:,Full Title:,Start Date:,Medical condition:,Disease 1:,Population Age:,Gender:,Trial protocol:,Link:,Disease:,Disease 2:,Disease 3:,Disease 4:,COVID-19
2020-001740-26,ATOMIC2,"University of Oxford, Clinical Trials and Research Governance",A multi-centre open-label two-arm randomised superiority clinical trial of Azithromycin versus usual care In Ambulatory COVID-19 (ATOMIC2),2020-05-05,COVID-19,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001740-26,,"Version: 20.0, SOC Term: 10022891 - Investigations, Classification Code: 10070255, Term: Coronavirus test positive, Level: PT",,,
2020-003628-18,000000,"University of Oxford, Clinical Trials and Research Governance",Adalimumab in COVID-19 to present respiratory failure in community care (AVID-CC): A randomised controlled trial,2020-09-29,COVID-19,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-003628-18,,"Version: 20.0, SOC Term: 10022891 - Investigations, Classification Code: 10070255, Term: Coronavirus test positive, Level: PT",,,
2020-001209-22,PRINCIPLE,University of Oxford / Clinical Trials and Research Governance ,Platform Randomised trial of INterventions against COVID-19 In older peoPLE,2020-03-26,Suspected COVID-19,"Version: 23.0, SOC Term: 100000004862, Classification Code: 10053983, Term: Corona virus infection, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001209-22,,,,,
2020-002567-57,1.0,University of Oxford / Clinical Trials and Research Governance,To determine whether administration of almitrine bismesylate can ameliorate hypoxaemia in Covid-19 and augment effectiveness of supplementary oxygen therapy and respiratory support,2020-11-23,Covid-19,"Version: 21.1, SOC Term: 10038738 - Respiratory, thoracic and mediastinal disorders, Classification Code: 10001053, Term: Acute respiratory failure, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002567-57,,,,,
2020-001448-24,RG_20-029COVID-19,University of Birmingham,Preventing Pulmonary Complications in Surgical Patients at Risk of COVID-19 ,2020-04-15,Preventing Pulmonary Complications in Surgical Patients at Risk of COVID-19,"Version: 20.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10035664, Term: Pneumonia, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001448-24,,"Version: 21.1, SOC Term: 100000004855, Classification Code: 10003083, Term: ARDS, Level: LLT",,,
2020-001684-89,RG_20-030,University of Birmingham,CATALYST - A randomised phase II proof of principle multi-arm multi-stage trial designed to guide the selection of interventions for phase III trials in hospitalised patients with COVID-19 infection.,2020-05-05,COVID-19,"Version: 20.1, SOC Term: 100000004855, Classification Code: 10047468, Term: Viral lower respiratory tract infections, Level: HLT","Adolescents, Under 18, Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001684-89,,,,,
2020-004144-28,CCTU0307,Cambridge university Hosptials NHS Foundation Trust and University of Cambridge,PROphylaxis for paTiEnts at risk of COVID-19 infecTion,2020-10-23,,,,,GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-004144-28,,,,,
2020-002230-32,,University of Edinburgh,Rapid Experimental Medicine for COVID-19 ,2020-06-23,COVID-19,,"Under 18, Adults","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002230-32,,,,,
2020-001643-13,01.01.20,University of Dundee,A randomised double-blind placebo-controlled trial of Brensocatib (INS1007) in patients with severe COVID-19 ,2020-05-15,COVID-19,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adolescents, Under 18, Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001643-13,,,,,
2020-003486-19,1.002.20,University of Dundee,"A randomised, double-blind, placebo-controlled trial of SFX-01 or placebo on a backbone of best standard care, to improve outcomes in patients with community acquired pneumonia and suspected or con...",2020-10-08,Community acquired pneumonia with suspected or confirmed SARS-CoV-2 infection,"Version: 20.1, SOC Term: 10021881 - Infections and infestations, Classification Code: 10066724, Term: Acute pneumonia, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-003486-19,,"Version: 20.1, SOC Term: 10021881 - Infections and infestations, Classification Code: 10010120, Term: Community acquired pneumonia, Level: LLT","Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10084380, Term: COVID-19 pneumonia, Level: PT","Version: 21.1, SOC Term: 10038738 - Respiratory, thoracic and mediastinal disorders, Classification Code: 10001052, Term: Acute respiratory distress syndrome, Level: PT",
2020-001860-27,UoL001542,University of Liverpool,AGILE: Seamless Phase I/IIa Platform for the Rapid Evaluation of Candidates for COVID-19 treatment,2020-05-12,"Coronavirus-induced disease (COVID-19) (SARS coronavirus 2, or SARS-CoV-2)","Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001860-27,,,,,
2020-002476-13,20HH5958,Imperial College London,A study to assess the safety and efficacy of Clazakizumab in patients with COVID-19 and kidney disease. ,2020-07-24,Patients with kidney disease who are hospitalised with COVID-19 infection with pulmonary involvement (i.e. consistent chest imaging abnormalities) and clinical deterioration (i.e increasing oxygen ...,"Version: 20.0, SOC Term: 100000004857, Classification Code: 10023417, Term: Kidney dysfunction, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002476-13,,"Version: 20.0, SOC Term: 100000004862, Classification Code: 10047463, Term: Viral infection NOS, Level: LLT","Version: 20.0, SOC Term: 10022891 - Investigations, Classification Code: 10063321, Term: Interleukin level, Level: PT","Version: 20.1, SOC Term: 10041244 - Social circumstances, Classification Code: 10079637, Term: Dependence on oxygen therapy, Level: PT",
2020-002494-10,,Queen Mary University of London,Personalised Electronic Record Supported OptimisatioN when ALone  for Patients with Hypertension- Pilot Study for Remote Medical Management of Hypertension During the COVID-19 Pandemic ,2020-07-17,Hypertension,"Version: 21.1, SOC Term: 100000004866, Classification Code: 10081425, Term: Arterial hypertension, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002494-10,,,,,
2020-001331-26,PROLIFIC2020,Cambridge University Hospitals NHS Foundation Trust,ChemoPROphyLaxIs For covId-19 infeCtious disease (the PROLIFIC trial),2020-04-14,"Coronavirus disease 2019 (COVID-19) caused by the infection, SARS-CoV-2","Version: 20.0, SOC Term: 100000004862, Classification Code: 10051905, Term: Coronavirus infection, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001331-26,,,,,
2020-002229-27,TACTIC-E,Cambridge University Hospitals NHS Foundation Trust,mulTi-Arm Therapeutic study in pre-ICu patients admitted with Covid-19 – Experimental drugs and mechanisms  ,2020-06-09,SARS-Cov-2,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002229-27,,,,,
2020-001354-22,TACTIC-R,Cambridge University Hospitals NHS Foundation Trust,Multiarm Therapeutic study in pre-ICU patients admitted with COVID-19 - Repurposed Drugs (TACTIC-R),2020-05-06,COVID-19-related complications,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001354-22,,,,,
