EudraCT Number:,Sponsor Protocol Number:,Sponsor Name:,Full Title:,Start Date:,Medical condition:,Disease 1:,Population Age:,Gender:,Trial protocol:,Link:,Disease:,Disease 2:,Disease 3:,Disease 4:,<FONT FACE=Helvetica><BR,<HTML>,<HEAD>,<TITLE>Error 500--Interna,</HEAD>,"<BODY bgcolor=""white"">",<TABLE border=0 cellspaci,"<FONT FACE=""Helvetica"" CO",</FONT></TD></TR>,</TABLE>,<TABLE border=0 width=100,"</FONT><FONT FACE=""Helvet","</FONT><P><FONT FACE=""Cou",</BODY>,</HTML>,
2020-003628-18,000000,"University of Oxford, Clinical Trials and Research Governance",Adalimumab in COVID-19 to present respiratory failure in community care (AVID-CC): A randomised controlled trial,2020-09-29,COVID-19,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-003628-18,,"Version: 20.0, SOC Term: 10022891 - Investigations, Classification Code: 10070255, Term: Coronavirus test positive, Level: PT",,,,,,,,,,,,,,,,,,
2020-001937-11,132333,University College London,"A single-site, randomised, controlled, parallel design, open-label investigation of an approved nebulised recombinant human DNase enzyme (dornase alfa) to reduce hyperinflammation in hospitalised p...",2020-04-30,Respiratory illness caused by Covid-19,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001937-11,,,,,,,,,,,,,,,,,,,,
2020-001904-41,GETAFIX-2020,NHS Greater Glasgow and Clyde,Glasgow Early Treatment Arm FavIpiravir : A randomized controlled study of favipiravir as an early treatment arm in COVID-19 patients,2020-05-20,COVID-19,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adolescents, Under 18, Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001904-41,,,,,,,,,,,,,,,,,,,,
2020-005395-35,GatesMRI-COD-01-T01-01,Bill & Melinda Gates Medical Research Institute,"A randomized, controlled, Phase 2b study to evaluate safety and efficacy of rivaroxaban (Xarelto®) for high risk people with mild COVID-19 ",2020-12-16,"Mild COVID-19 in people who are at high risk for moderate or severe disease due to age, body mass index (BMI) and comorbidities, many of which are also thrombotic risks. ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-005395-35,,,,,,,,,,,,,,,,,,,,
2020-002120-37,RESP301-002,Thirty Respiratory Limited,"An open-label, adaptive randomized, controlled multicenter study to evaluate the efficacy and safety of RESP301 plus standard of care (SOC) compared to SOC alone in hospitalized participants with C...",2020-06-16,Coronavirus disease 2019 (COVID-19) ,"Version: 20.0, SOC Term: 100000004862, Classification Code: 10061986, Term: SARS, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002120-37,,,,,,,,,,,,,,,,,,,,
2020-001072-15,COV001,University of Oxford,"A phase I/II study to determine efficacy, safety and immunogenicity of the candidate Coronavirus Disease (COVID-19) vaccine ChAdOx1 nCoV-19 in UK healthy adult volunteers",2020-03-26,COVID-19,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT",Adults,"Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001072-15,,,,,,,,,,,,,,,,,,,,
2020-004123-16,2019nCoV-302,"Novavax, Inc.","A Phase 3, Randomised, Observer-Blinded, Placebo-Controlled Trial to Evaluate the Efficacy and Safety of a SARS-CoV-2 Recombinant Spike Protein Nanoparticle Vaccine (SARS-CoV-2 rS) with Matrix-M1™ ...",2020-09-23,Prevention of COVID-19 caused by SARS-CoV-2,"Version: 23.1, SOC Term: 100000004865, Classification Code: 10084465, Term: COVID-19 vaccination, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-004123-16,,,,,,,,,,,,,,,,,,,,
2020-001502-38,VP-C21-006,Vicore Pharma AB,"A randomised, double blind, placebo controlled, Phase 2 trial investigating the safety and efficacy of C21 in hospitalised subjects with COVID-19 infection not requiring mechanical ventilation ",2020-05-06,Covid-19 infection,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(Completed) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001502-38,,,,,,,,,,,,,,,,,,,,
2020-001209-22,PRINCIPLE,University of Oxford / Clinical Trials and Research Governance ,Platform Randomised trial of INterventions against COVID-19 In older peoPLE,2020-03-26,Suspected COVID-19,"Version: 23.0, SOC Term: 100000004862, Classification Code: 10053983, Term: Corona virus infection, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001209-22,,,,,,,,,,,,,,,,,,,,
2020-001640-26,132151,University College London,"A pilot, open label, phase II clinical trial of nebulised recombinant tissue-Plasminogen Activator (rtPA)in patients with COVID-19 ARDS: The Plasminogen Activator COVID-19 ARDS (PACA) trial  ",2020-04-17,Acute respiratory distress syndrome (ARDS) caused by COVID-19 ,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001640-26,,,,,,,,,,,,,,,,,,,,
2020-001886-35,RHMCRI0399,University Hospital Southampton NHS Foundation Trust,A clinical trial of nebulized surfactant for the Treatment of moderate to severe COVID-19 in adults,2020-05-15,COVID-19 infection in patients requiring endotrachael intubation,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001886-35,,,,,,,,,,,,,,,,,,,,
2020-002476-13,20HH5958,Imperial College London,A study to assess the safety and efficacy of Clazakizumab in patients with COVID-19 and kidney disease. ,2020-07-24,Patients with kidney disease who are hospitalised with COVID-19 infection with pulmonary involvement (i.e. consistent chest imaging abnormalities) and clinical deterioration (i.e increasing oxygen ...,"Version: 20.0, SOC Term: 100000004857, Classification Code: 10023417, Term: Kidney dysfunction, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002476-13,,"Version: 20.0, SOC Term: 100000004862, Classification Code: 10047463, Term: Viral infection NOS, Level: LLT","Version: 20.0, SOC Term: 10022891 - Investigations, Classification Code: 10063321, Term: Interleukin level, Level: PT","Version: 20.1, SOC Term: 10041244 - Social circumstances, Classification Code: 10079637, Term: Dependence on oxygen therapy, Level: PT",,,,,,,,,,,,,,,,
2020-004144-28,CCTU0307,Cambridge university Hosptials NHS Foundation Trust and University of Cambridge,PROphylaxis for paTiEnts at risk of COVID-19 infecTion,2020-10-23,,,,,GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-004144-28,,,,,,,,,,,,,,,,,,,,
2020-004994-27,2020SW03,Ashford and St Peter's Hospitals NHS Foundation Trust,Clinical Efficacy of Nitric Oxide Nasal Spray (NONS) for the Treatment of Mild COVID-19 Infection,2020-12-16,COVID-19,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-004994-27,,,,,,,,,,,,,,,,,,,,
2020-001805-21,RA486120,University Hospital Coventry & Warwickshire,"Prospective, Randomized, Parallel-Group, Open-Label Study to Evaluate the Efficacy and Safety of IMU-838, in Combination with Oseltamivir, in Adults with Coronavirus Disease COVID-19 ",2020-05-15,Sars-Cov-2,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001805-21,,,,,,,,,,,,,,,,,,,,
2020-001228-32,COV002,CTRG,"A phase 2/3 study to determine the efficacy, safety and immunogenicity of the candidate Coronavirus Disease (COVID-19) vaccine ChAdOx1 nCoV-19",2020-05-04,SARS-CoV-2,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001228-32,,,,,,,,,,,,,,,,,,,,
2020-001449-38,CW002,Chelsea and Westminster Hospital NHS Foundation Trust,A Randomised Controlled Trial of Early Intervention in Patients HospItalised with COVID-19: Favipiravir verses HydroxycholorquiNe & Azithromycin & Zinc vErsEs Standard CaRe ,2020-04-29,COVID-19 Infection,"Version: 20.0, SOC Term: 100000004862, Classification Code: 10051905, Term: Coronavirus infection, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001449-38,,,,,,,,,,,,,,,,,,,,
2020-002567-57,1.0,University of Oxford / Clinical Trials and Research Governance,To determine whether administration of almitrine bismesylate can ameliorate hypoxaemia in Covid-19 and augment effectiveness of supplementary oxygen therapy and respiratory support,2020-11-23,Covid-19,"Version: 21.1, SOC Term: 10038738 - Respiratory, thoracic and mediastinal disorders, Classification Code: 10001053, Term: Acute respiratory failure, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002567-57,,,,,,,,,,,,,,,,,,,,
2020-002668-29,132796,University College London,A Randomised Controlled Trial of plasma exchange with standard of care compared to standard of care alone in the treatment of severe COVID-19 infection (COVIPLEX)  ,2020-06-25,COVID-19,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002668-29,,,,,,,,,,,,,,,,,,,,
2020-001996-33,CD12_COVID-19,"CytoDyn, Inc.","A Phase 2b/3, Randomized, Double Blind, Placebo Controlled, Adaptive Design Study to Evaluate the Efficacy and Safety of Leronlimab for Patients with Severe or Critical Coronavirus Disease 2019 (CO...",2020-08-26,Coronavirus Disease 2019 (COVID-19),"Version: 23.0, SOC Term: 100000004862, Classification Code: 10053983, Term: Corona virus infection, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001996-33,,,,,,,,,,,,,,,,,,,,
2020-002106-68,CTU/2020/354,University College London Comprehensive Clinical Trial Unit,"Favipiravir, lopinavir/ritonavir or combination therapy: a randomised, double blind, 2x2 factorial placebo-controlled trial of early antiviral therapy in COVID-19",2020-07-16,SARS-CoV-2 (Corona virus) infection,"Version: 23.0, SOC Term: 100000004862, Classification Code: 10053983, Term: Corona virus infection, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002106-68,,,,,,,,,,,,,,,,,,,,
2020-001643-13,01.01.20,University of Dundee,A randomised double-blind placebo-controlled trial of Brensocatib (INS1007) in patients with severe COVID-19 ,2020-05-15,COVID-19,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adolescents, Under 18, Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001643-13,,,,,,,,,,,,,,,,,,,,
2020-002230-32,,University of Edinburgh,Rapid Experimental Medicine for COVID-19 ,2020-06-23,COVID-19,,"Under 18, Adults","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002230-32,,,,,,,,,,,,,,,,,,,,
2020-001636-95,282110,University of Manchester,Subcutaneous and Intravenous anakinra in COVID-19 Infection -  Feasibility & Pharmacokinetics/ Pharmacodynamics study,2020-05-20,Suspected or confirmed SARS-CoV-2 infection (confirmed by RNA-PCR),"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001636-95,,,,,,,,,,,,,,,,,,,,
2020-002229-27,TACTIC-E,Cambridge University Hospitals NHS Foundation Trust,mulTi-Arm Therapeutic study in pre-ICu patients admitted with Covid-19 – Experimental drugs and mechanisms  ,2020-06-09,SARS-Cov-2,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002229-27,,,,,,,,,,,,,,,,,,,,
2020-001023-14,SG016,Synairgen Research Limited,A randomised double-blind placebo-controlled trial to determine the safety and efficacy of inhaled SNG001 (IFNβ-1a for nebulisation) for the treatment of patients with confirmed SARS-CoV-2 infectio...,2020-03-17,COVID-19,"Version: 20.0, SOC Term: 100000004862, Classification Code: 10051905, Term: Coronavirus infection, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001023-14,,,,,,,,,,,,,,,,,,,,
2020-004719-28,D8850C00003,AstraZeneca AB,"A Phase III Randomized, Double-blind, Placebo-controlled, Multi-center Study in Adults to Determine the Safety and Efficacy of AZD7442, a Combination Product of Two Monoclonal Antibodies (AZD8895 a...",2020-11-20,COVID-19,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-004719-28,,,,,,,,,,,,,,,,,,,,
2020-001786-36,ILIAD-7-UK-Cohort,RevImmune SAS France,Recombinant InterLeukin-7 (CYT107) to Improve clinical outcomes in lymphopenic pAtients with COVID-19 infection “ILIAD 7 trial”,2020-05-06,Lymphopenia and T cell exhaustion in  COVID-19 patients,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001786-36,,,,,,,,,,,,,,,,,,,,
2020-001354-22,TACTIC-R,Cambridge University Hospitals NHS Foundation Trust,Multiarm Therapeutic study in pre-ICU patients admitted with COVID-19 - Repurposed Drugs (TACTIC-R),2020-05-06,COVID-19-related complications,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001354-22,,,,,,,,,,,,,,,,,,,,
2020-001473-79,ESR-20-20653,"Saint Luke’s Hospital of Kansas City, Kansas City, Missouri, USA","An International, Multicenter, Randomized, Double-blind, Placebo-controlled, Phase III Study Evaluating the Efficacy and Safety of Dapagliflozin in Respiratory Failure in Patients with COVID-19",2020-05-07,Respiratory Failure in patients with COVID-19,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,"https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001473-79<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Draft//EN"">",,,,,CLEAR=all>,,,l Server Error</TITLE>,,,ng=5><TR><TD><BR CLEAR=all>,"LOR=""black"" SIZE=""3""><H2>Error 500--Internal Server Error</H2>",,,"% cellpadding=10><TR><TD VALIGN=top WIDTH=100% BGCOLOR=white><FONT FACE=""Courier New""><FONT FACE=""Helvetica"" SIZE=""3""><H3>From RFC 2068 <i>Hypertext Transfer Protocol -- HTTP/1.1</i>:</H3>","ica"" SIZE=""3""><H4>10.5.1 500 Internal Server Error</H4>","rier New"">The server encountered an unexpected condition which prevented it from fulfilling the request.</FONT></P>",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-001172-15,APN01-01-COVID19,APEIRON Biologics AG,Recombinant human angiotensin-converting enzyme 2 (rhACE2) as a treat-ment for patients with COVID-19,2020-04-08,"Severe COVID-19 POSITIVE hospitalized male or female, between 18 and ≤ 80 years of age",,"Adults, Elderly","Male, Female",DE(Completed) DK(Completed) AT(Completed) GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001172-15,,,,,,,,,,,,,,,,,,,,
2020-003510-12,GS-US-540-9012,"Gilead Sciences, Inc","A Phase 3 Randomized, Double-Blind Placebo-Controlled Trial to Evaluate the Efficacy and Safety of Remdesivir (GS-5734™) Treatment of COVID-19 in an Outpatient Setting",2020-10-02,COVID-19,"Version: 23.0, SOC Term: 100000004862, Classification Code: 10084382, Term: Coronavirus disease 2019, Level: LLT","Adolescents, Under 18, Adults, Elderly","Male, Female",DK(Completed) GB(GB - no longer in EU/EEA) PT(Completed) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-003510-12,,,,,,,,,,,,,,,,,,,,
2020-001662-11,CINC424J12301,Novartis Pharma AG,"Phase 3 randomized, double-blind, placebo-controlled, multi-center study to assess the efficacy and safety of ruxolitinib in patients with COVID-19 associated cytokine storm (RUXCOVID)",2020-05-05,COVID-19 associated cytokine storm,,"Adolescents, Under 18, Adults, Elderly","Male, Female",DE(Completed) GB(GB - no longer in EU/EEA) FR(Completed) ES(Completed) IT(Completed) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001662-11,,,,,,,,,,,,,,,,,,,,
2020-003367-26,MK4482-001,"Merck Sharp & Dohme Corp., a subsidiary of Merck & Co., Inc.","A Phase 2/3, Randomized, Placebo-Controlled, Double-Blind Clinical Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of MK-4482 in Hospitalized Adults with COVID-19",2020-11-18,COVID-19,"Version: 23.0, SOC Term: 100000004862, Classification Code: 10084382, Term: Coronavirus disease 2019, Level: LLT","Adults, Elderly","Male, Female",FR(Completed) GB(GB - no longer in EU/EEA) SE(Completed) PL(Completed) IT(Completed) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-003367-26,,,,,,,,,,,,,,,,,,,,
2020-004356-16,D8850C00002,AstraZeneca AB,"A Phase III Randomized, Double-blind, Placebo-controlled, Multi-center Study in Adults to Determine the Safety and Efficacy of AZD7442, a Combination Product of Two Monoclonal Antibodies (AZD8895 a...",2020-11-18,COVID-19,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) BE(Ongoing) FR(Ongoing) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-004356-16,,,,,,,,,,,,,,,,,,,,
2020-001052-18,010,Regents of the University of Minnesota,"A Multicenter, Adaptive, Randomised Blinded Controlled Trial of the Safety and Efficacy of Investigational Therapeutics for the Treatment of COVID-19 in Hospitalized Adults - Version for European U...",2020-03-25,Influenza COVID-19,"Version: 20.0, SOC Term: 100000004862, Classification Code: 10022005, Term: Influenza viral infections, Level: HLT","Adults, Elderly","Male, Female",DK(Completed) GB(Completed) DE(Completed) GR(Completed) ES(Completed) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001052-18,,,,,,,,,,,,,,,,,,,,
2020-001270-29,EFC16858,sanofi-aventis recherche & développement,"An adaptive Phase 2/3, randomized, open-label study assessing efficacy and safety of hydroxychloroquine for hospitalized patients with moderate to severe COVID-19",2020-04-08,Coronavirus infection,"Version: 23.0, SOC Term: 100000004862, Classification Code: 10053983, Term: Corona virus infection, Level: LLT","Adults, Elderly","Male, Female",DK(Prematurely Ended) CZ(Prematurely Ended) DE(Prematurely Ended) GB(Prematurely Ended) FR(Prematurely Ended) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001270-29,,,,,,,,,,,,,,,,,,,,
2020-001517-21,I4V-MC-KHAA,Eli Lilly and Company,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Phase 3 Study of Baricitinib in Patients with COVID-19 Infection",2020-06-30,COVID-19 infection,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) DE(Completed) ES(Completed) IT(Completed) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001517-21,,,,,,,,,,,,,,,,,,,,
2020-001807-18,TD-0903-0188,Theravance Biopharma Ireland Limited ,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Parallel-group, Multi-center Study of an Inhaled Pan-Janus Kinase Inhibitor, TD-0903, to Treat Symptomatic Acute Lung Injury Associated with...",2020-05-18,Acute lung injury associated with COVID-19,"Version: 20.1, SOC Term: 100000004855, Classification Code: 10047468, Term: Viral lower respiratory tract infections, Level: HLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) RO(Completed) FI(Completed) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001807-18,,,,,,,,,,,,,,,,,,,,
